% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 2 2022, 14:03"
% Table,"Table 22 - Full_qubit_mode, EPR"
% L_junc (nH),Eigenfrequency (GHz),p (1)
9.025,6.463234463773759-1.4571070229360537E-13i,0.9593814922707968
9.026,6.462890959590132-2.0885200662083436E-13i,0.9593878243314291
9.027000000000001,6.462547507948304-1.6513879593275276E-13i,0.9593941546076594
9.028,6.4622041224121745-8.256939796637638E-14i,0.9594004802431576
9.029,6.461860785763103-7.285535114680269E-14i,0.9594068044790154
9.030000000000001,6.461517486904009-1.359966554740317E-13i,0.9594131290682911
9.031,6.461174259271217+9.228344478595006E-14i,0.9594194483575141
9.032,6.460831082329655+6.314130432722898E-14i,0.9594257658391758
9.033,6.46048795240847+1.7970986616211327E-13i,0.9594320823450614
9.034,6.460144883161888-3.3999163868507924E-14i,0.9594383952343958
9.035,6.459801862201898-1.4085367888381854E-13i,0.959444706779381
9.036,6.459458905162437+2.379941470795554E-13i,0.9594510142108795
9.037,6.459116000638978-1.2142558524467113E-13i,0.9594573195463209
9.038,6.458773146367821+1.0199749160552376E-13i,0.9594636232263215
9.039,6.458430344947942-1.9428093639147384E-13i,0.959469924563107
9.040000000000001,6.458087595034397+1.5542474911317905E-13i,0.9594762242759258
9.041,6.457744902635725+1.7970986616211327E-13i,0.9594825208960259
9.042,6.457402267023042-4.225610366514556E-13i,0.959488814666089
9.043000000000001,6.457059673560649-7.285535114680269E-14i,0.9594951080526747
9.044,6.456717147944396+6.314130432722898E-14i,0.9595013968727123
9.045,6.45637467147313+9.228344478595006E-14i,0.9595076840133205
9.046000000000001,6.456032246041891-1.7485284275232643E-13i,0.9595139693166268
9.047,6.45568987265626+1.7485284275232643E-13i,0.9595202526398344
9.048,6.45534755353765-1.2628260865445797E-13i,0.9595265334906903
9.049,6.455005294424203+3.739908025535871E-13i,0.9595328109432523
9.05,6.454663086829137-4.808453175688977E-13i,0.959539086461675
9.051,6.454320925313202-3.5941973232422655E-13i,0.9595453611231338
9.052,6.453978829647952+7.334105348778136E-13i,0.9595516312138392
9.053,6.453636775584494+2.5256521730891594E-13i,0.9595579011457089
9.054,6.453294784031536+6.799832773701585E-14i,0.9595641671736689
9.055,6.452952838693364+1.165685618348843E-13i,0.9595704322403438
9.056000000000001,6.452610953527405-7.236964880582399E-13i,0.9595766938722758
9.057,6.4522691170554705-5.294155516667661E-13i,0.9595829540219032
9.058,6.451927338366697-1.4085367888381854E-13i,0.9595892111116043
9.059000000000001,6.451585620109294-1.4571070229360536E-14i,0.959595464695504
9.06,6.451243943067537-8.256939796637638E-14i,0.9596017182670169
9.061,6.450902326557743-2.477081938991291E-13i,0.959607968139392
9.062000000000001,6.450560755019729+3.739908025535871E-13i,0.959614217333077
9.063,6.450219240292041+1.4571070229360536E-14i,0.959620463671866
9.064,6.449877783189606+1.311396320642448E-13i,0.9596267068122366
9.065,6.449536391049587-1.4571070229360536E-14i,0.9596329459160031
9.066,6.449195033590041-1.6513879593275276E-13i,0.9596391858129943
9.067,6.448853730778489-2.137090300306212E-13i,0.9596454233658521
9.068,6.448512486742279-1.4085367888381854E-13i,0.9596516576212392
9.069,6.448171300582168+5.34272575076553E-14i,0.9596578887591959
9.07,6.447830159318412+1.165685618348843E-13i,0.9596641191801851
9.071,6.447489077523859-3.1570652163614497E-13i,0.9596703462240015
9.072000000000001,6.447148051057761+7.771237455658953E-14i,0.9596765707621803
9.073,6.446807069601921+3.3513461527529233E-13i,0.9596827942350741
9.074,6.446466140649148+1.2142558524467113E-13i,0.9596890159495557
9.075000000000001,6.446125276768725+1.2142558524467113E-13i,0.9596952330660142
9.076,6.445784459168697-8.742642137616322E-14i,0.9597014491860368
9.077,6.445443697877368-2.914214045872107E-14i,0.9597076625936636
9.078000000000001,6.445102977935193-2.137090300306212E-13i,0.9597138757241769
9.079,6.444762327336938-2.428511704893423E-14i,0.9597200837179358
9.08,6.444421722931967+3.739908025535871E-13i,0.9597262908083037
9.081,6.4440811723183495+2.428511704893423E-14i,0.9597324954033069
9.082,6.443740676982902+3.8856187278294763E-14i,0.9597386974688809
9.083,6.4434002275488815-1.4571070229360537E-13i,0.9597448986796523
9.084,6.443059834890219-1.165685618348843E-13i,0.9597510967208043
9.085,6.44271950860112-4.8570234097868454E-15i,0.9597572905428271
