% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 1 2022, 16:48"
% Table,Table 21 - g
% Eigenfrequency (GHz),g (1/s)
6.4400727873145405+8.187810708084692E-4i,7286.321792970782-1854.1649237454874i
6.440268961974002+1.4960861705694008E-8i,926572.4582828803+4393.47607888644i
6.44037520807351+2.0428537981118812E-5i,-28040.769838504068-19052.3515861883i
6.44042438754485+1.7706081734112415E-5i,31369.218416303112-10043.295381490185i
6.440517048821177+5.569344136327128E-6i,-17667.67170570987+383.01097878358894i
6.4406572188840325+0.0021650224607172347i,-639.1481410477817-51.94174752367785i
6.440686479414526+4.796707060698576E-5i,-21373.495140125975+2583.304121524552i
6.44070248376555+5.470244675421517E-6i,-5387.221482682807+5061.4760635906005i
6.440961967113754+2.4156143504579873E-6i,-14713.750203003992+1563.7742131447344i
6.441050293618119+2.939664970852542E-6i,-1709.7955226418776+111.25359784609671i
6.441116977894302+4.597702439324877E-6i,4872.032148991613+409.10362253076624i
6.441120229356277+8.279804548491771E-4i,66.69248283867103+4557.131862335709i
6.441302908967987+1.1562935795808615E-6i,-5936.32309698961+205.73397600091235i
6.441364285942207+8.90441320579062E-4i,-3767.1388363191604+2948.1197285998405i
6.441436133806044+2.2714989203988778E-5i,-193.97179506580792-1192.8281463113935i
6.441505175765471+1.6279913931781198E-5i,-2086.5631869558697-5839.493527137333i
6.441715859425965+0.0020479751737833454i,8149.237529427314-3383.669462156236i
6.441887720670163+1.4437512478376893E-5i,26796.798142408075-4973.664934810337i
6.442028516528754+8.65354345847959E-4i,885.4644219091653+760.9420916308432i
6.44217004716015+1.0256096553072497E-6i,5901.2450356301415-897.5272186289294i
6.442226016466731+6.139249585756997E-7i,1504.41499691037-63.7602470963335i
6.442406730352247+8.450291244398102E-4i,1026.7130010103224-108.97028922008323i
6.442554201882111+1.3273351109515726E-5i,9805.002338681541-3522.633638918205i
6.442602513488393+5.7324497528260515E-6i,7461.521621645131-1231.265213729902i
6.442785348590203+1.3768019741523455E-6i,-3123.4022835074934-21.714317648600556i
6.44292760820118+1.638570132180749E-8i,-21550.54735242584+37.24260282367217i
6.443035793571922+0.00219134195689064i,-1475.6414662126826+56.96172801809093i
6.443173588897421+1.2602846733432891E-5i,10522.09568535752-2227.095735436085i
6.443177091690502+0.003269902558024457i,276.04772233245325-625.0813847688923i
6.443303746043899+9.490858686423433E-6i,-6586.714962341493-2042.623169625381i
6.443538979401153+0.0010812709287775888i,-29705.076704997962+5724.446010811478i
6.443562533017839+0.0010392424000895482i,-40.525064083730314+680.1350340590183i
6.44363285947272+2.8655611975727716E-8i,2084.461148088656+50.964734529505i
6.443660926191279+7.702387699269892E-5i,-7336.659745849109-1328.3036053585042i
6.44373790215236+2.206255146116611E-6i,-861.835388084397+42.86445257812653i
6.443858789781445+4.6181201700827526E-6i,1909.9398227961037+44.663197799197405i
6.444041182017219+8.078088811562452E-6i,-638.9710535685399-160.36788483645347i
6.44438060547904+0.007777856667097128i,-1175.583575606729+6950.649746036901i
6.444463583741577+2.1658403452698158E-6i,2556.9992675941294+1450.4020297717304i
6.444689815996899+1.5337530835030486E-6i,-6150.202626827422-228.22508912806734i
6.445123625683326+3.0104237252842493E-5i,-1419.0600090625921+2048.135277367489i
6.445384684071067+3.9635141803186165E-7i,-230373.29058283268+12178.089794423962i
6.4453963298875765+3.00235096060522E-5i,-14335.362701080448+13101.037539336954i
6.445550630702161+1.939002888246534E-4i,-11338.565076129453-1655.6897550803415i
6.445706513898494+1.0719348670516466E-6i,-321411.816759789-52656.39102931741i
6.445755891989479+1.0281719706608473E-5i,66480.93421647802-10417.94615287633i
6.445855579886076+2.3401686011823365E-5i,16374.835100607694-4103.736047569826i
6.446013970755887+0.0068863269008941665i,1750.8896305300207+2590.7848548061197i
6.446285347889951+2.2137232156925E-7i,-215578.93965422412-1252.945330016887i
6.4463851237025285+1.5601817966665018E-5i,-5394.40169304054-86.64685374397504i
6.446692861888965+1.0656618488992256E-5i,1853.2685783476081+839.6172135634824i
6.446799324102253+0.004813645538301042i,10596.057038234725+14269.067030480914i
6.44694302810263+1.8541682561816475E-6i,103.12403253838056+73.19420874854166i
6.4469640452092545+0.006643035598301614i,-427.4507095390288+4357.483385212121i
6.447116738842781+1.2236174534102062E-5i,1102.4864492347615+10.848849896217018i
6.447281412442351+5.721557136395319E-7i,-10389.175271732076+255.0173468746595i
6.447385026856147+1.8253570371297186E-5i,-711.7430962128465+546.7937188586075i
6.447562949335719+2.185687295824178E-5i,235.0166164969334-2277.3596133302517i
6.447686881312932+0.004419112573167616i,-1081.1978256040265-3879.112499857285i
6.447915537005231+0.004442471379596297i,3749.07876235575-2543.690949705944i
6.4479543177212575+2.5314764980465787E-6i,1264.8780295771558+325.050028999758i
6.448185887144291+4.4469600941365856E-4i,-13673.305349635208-2929.6939850437184i
6.448298699982237+8.264836610244194E-7i,24577.251889396444-1017.302830454178i
6.448399617539744+1.211231581916073E-6i,-2244.2322098015134+793.0634193491512i
6.4484291686303195+0.006589384696223854i,10195.564939868931+3812.899232218475i
6.448671437427676+1.1480686844402232E-5i,-7863.960612790606+129.59472129047325i
6.448743331132177+3.2081431027340973E-6i,1810.3924682926308-303.8577580170237i
6.4488753949763025+4.544654426597775E-6i,-2622.9195968311833-27.761896300823707i
6.448969018402742+0.0029990391387971814i,5589.513448594048+1145.1558764374438i
6.449266790903631+2.731501533247403E-6i,-65697.40585761909+1835.4676965647286i
6.449349822248654+9.198184062144426E-7i,5487.3075370560155-791.5765287862338i
6.449395632304559+0.0040225331660346175i,231.62359869437032-1150.4430801234148i
6.449509479025022+2.8040836761334456E-5i,4407.97831868266+9963.069820666498i
6.449649532596622+4.1350410245781785E-5i,5548.178760416869+495.4929154907626i
6.4497015186820645+9.857248329022732E-6i,2431.655679370004-154.71198192165866i
6.4498810593164935+1.8642635756238357E-6i,-666.5394028205028+451.96476285849303i
6.450399129635805+6.679077054519195E-4i,-5117.940243305731+4555.011647693072i
6.450742352272095+1.4986084801805595E-6i,-460.2301096674637+1663.9521333009154i
