% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 13:12"
% Table,"Table 1 - Pol, SM_only"
% Eigenfrequency (GHz),zz (1),yz (1),xz (1)
6.4400727873145405+8.187810708084692E-4i,0.9914988194403472,0.004090148732376381,0.003943985128710827
6.440268961974002+1.4960861705694008E-8i,0.997630400103025,7.361770127983521E-4,0.0014948748683211667
6.44037520807351+2.0428537981118812E-5i,0.014004672856828358,0.9683629570854732,0.010146432578916696
6.44042438754485+1.7706081734112415E-5i,0.007172146605971351,0.9809456955589192,0.006709201658301884
6.440517048821177+5.569344136327128E-6i,0.24923833295128212,0.2776559792568909,0.3940634261187963
6.4406572188840325+0.0021650224607172347i,0.010014379328522774,0.001085973057643349,0.9747845395752692
6.440686479414526+4.796707060698576E-5i,0.009468844174912953,0.888669036654543,0.08989702984253656
6.44070248376555+5.470244675421517E-6i,0.047045410438318724,0.15834230439007138,0.7733376717060001
6.440961967113754+2.4156143504579873E-6i,0.18297154894654086,0.2977875512823901,0.45521293323827583
6.441050293618119+2.939664970852542E-6i,0.1322079983506096,0.5684111251443169,0.25885457508272397
6.441116977894302+4.597702439324877E-6i,0.03303216901025587,0.12195644117115613,0.8258080690521773
6.441120229356277+8.279804548491771E-4i,0.9889060551752984,0.005920337958599635,0.004656447479088625
6.441302908967987+1.1562935795808615E-6i,0.05395614806261401,0.12234445548383877,0.7445918150215427
6.441364285942207+8.90441320579062E-4i,0.9825450527956548,0.013519488220872424,0.0034553042943058733
6.441436133806044+2.2714989203988778E-5i,0.014428264493756488,0.9698227209996815,0.007193492448481663
6.441505175765471+1.6279913931781198E-5i,9.731575529008068E-4,0.9950404838340773,7.839927928289993E-4
6.441715859425965+0.0020479751737833454i,0.006472913607487595,2.801636095405834E-4,0.9790142522892086
6.441887720670163+1.4437512478376893E-5i,0.011336830976269932,0.962301757355825,0.014357945918627523
6.442028516528754+8.65354345847959E-4i,0.9906416815494414,0.004721888868475321,0.004264433589366896
6.44217004716015+1.0256096553072497E-6i,0.014955026429662273,0.9510932507435462,0.013567373606665835
6.442226016466731+6.139249585756997E-7i,0.010082663644044094,0.0118199721366435,0.9692144193060953
