% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 2 2022, 00:16"
% Table,"Table 22 - Full_qubit_mode, EPR"
% Eigenfrequency (GHz),p (1)
6.443196324686563+8.304337416816114E-4i,2.9879987500197055E-8
6.443264653234995+2.1318143979692208E-5i,1.1014307454375146E-7
6.443553698636174+3.148621281163535E-8i,1.1180147060803906E-7
6.443565813050833+5.221253198104486E-7i,1.746711204345379E-8
6.443678208896907+7.708842218783906E-5i,1.227464334170549E-7
6.443774423893258+2.360668826190637E-6i,3.854170824563812E-9
6.44385568849997+8.013293975930896E-4i,2.442889622789268E-9
6.443981336881177+5.1230019383689785E-6i,8.179394351033166E-9
6.444118248085112+7.496449170589727E-6i,3.7019897317680845E-8
6.444212019492226+2.819400903012568E-6i,5.6464090423500205E-8
6.444242004881769+7.869610303835701E-4i,5.360916311376016E-9
6.444520335523835+2.4902639733808038E-6i,5.999593624699032E-10
6.4447479492262465+0.0030108431242123054i,2.727735611826644E-9
6.444939252046942+2.580623429768552E-7i,0.0014302672200346672
6.445148537516461+3.0039225625253688E-5i,1.7378115581553868E-5
6.445445932968206+0.0010091898359635575i,1.2519053303245471E-6
6.445458115948679+9.744020994273294E-4i,4.171432368780797E-9
6.445461787321711+2.381650535907873E-6i,2.0162510447891268E-7
6.445546258464548+4.510825695354543E-5i,1.4746297548923788E-7
6.445575045470394+2.0075689733148924E-4i,1.9092332829902134E-7
6.446022741856238+7.1757999865070345E-6i,1.515940118684453E-5
6.446027688482476+0.006885187479171136i,2.3879182157457403E-8
6.4460665545797635+1.1565684462790744E-6i,9.159579163243516E-5
6.446246306610491+4.437616344427839E-6i,1.7578394736032263E-7
6.44679495226623+1.1871972730332972E-5i,1.3510965056760974E-9
6.446816772713437+0.004796849814227052i,4.23202296958572E-7
6.44692562206824+3.933266968230238E-5i,1.5836435684429252E-9
6.446980683409531+0.0066546764669807475i,3.3108926314190485E-8
6.447133641117711+1.2363301704651795E-5i,8.68384941747961E-9
6.447292005572504+2.0756094180018526E-7i,1.8098853343150127E-7
6.4475924785142436+1.433613892124319E-7i,5.32536796597226E-7
6.447958588836235+3.772728550104596E-6i,8.117206626301226E-9
6.448181683437903+2.244362571304915E-5i,7.106458513042904E-8
6.4482174471279325+4.359191585633564E-4i,3.199198210018764E-7
6.448354139177427+0.0067229539664178896i,1.4790206498323637E-7
6.448564593837289+2.394348393061758E-6i,6.363982017312338E-8
6.448687880616096+1.1781779155865738E-5i,1.0189275991454461E-7
6.448771791866632+2.1618559129670293E-6i,1.5979798300088438E-9
6.448809921729295+0.0043788659697646184i,2.480876638731571E-8
6.448971656478223+0.0029869250046730515i,9.850375131611703E-8
6.449229466474955+0.003978191994641061i,4.845602722238302E-8
6.449316148206556+5.569800949800153E-6i,3.4217936640152186E-8
6.449626591052827+3.6157097793355826E-6i,2.1466040890574963E-7
6.449706180587358+0.0039045564155084627i,5.1080794502290585E-9
6.449714355695276+2.9710662528652677E-6i,1.61179954871352E-5
6.449758538284778+3.733185198925522E-5i,7.076755687322112E-8
6.449849915048932+1.2429931600042267E-5i,3.813631700617206E-7
6.44996224939479+4.039358012592787E-5i,2.4477699688187624E-6
6.450125232596052+9.486312231040957E-5i,1.0288755069044754E-6
6.450178119156651+3.0344656497024454E-6i,4.323195073565994E-5
6.450229130987149+8.37448921006501E-6i,2.3250791810433904E-5
6.450431347609989+6.827943697517857E-4i,1.6520820411643806E-8
6.4505606413768675+1.226121347413493E-5i,1.294790903572328E-4
6.450859579167559+0.0013096595449196085i,5.09386573875332E-7
6.451035478420665+1.9529037727858935E-4i,1.0925116310016983E-5
6.451119766929454+0.003880392509422623i,1.0152523574966052E-7
6.45129519716682+0.0015255506611379652i,1.8386351522801112E-8
6.451516360456954+0.0028160869508499094i,1.1154044901172498E-8
6.45170480184335+1.1790919670790014E-4i,9.569591967349233E-6
6.451854075756378+0.001214091940126902i,1.7452369752659506E-6
6.451884761073451+2.8206090521294813E-5i,9.305639916709268E-8
6.452045098347402+2.687228410349161E-6i,3.615610843367712E-7
6.452194416332039+1.385673012663202E-5i,2.3146363262143044E-7
6.452221627219686+2.7827030902397146E-4i,1.85876086338271E-7
6.452365220185608+0.005213958140052286i,6.414241290825418E-8
6.452441482630967+2.0509680611138208E-5i,1.4756354968306247E-7
6.452466018904551+8.334068670744083E-5i,2.2836074284991035E-6
6.452637060611805+6.74735148270148E-5i,9.107146320745925E-7
6.452717922479967+2.3711907718275057E-5i,1.0359781253420959E-7
6.452921271950364+9.019650213523453E-6i,1.2345041786355912E-6
6.452973409821443+1.5811279727251123E-5i,2.667270078551359E-7
6.453335225535494+3.069049716729458E-5i,3.995079092859416E-8
6.4535122342960864+0.0011204974558949616i,7.971499818185631E-8
6.453598439208907+3.842060604813083E-5i,3.271613334243132E-7
6.4537683198120215+7.979108467890809E-5i,1.4823323605138728E-7
6.453850340407339+0.0012977016649525386i,7.59478067163165E-9
6.453856487104744+2.65558342144226E-6i,3.285815428924129E-6
6.454034454655918+6.435961054863759E-5i,6.036394190358455E-8
6.454442445273986+2.117262164248048E-5i,8.401090523240482E-9
6.4545118906942704+0.005550529932123224i,1.8207728260397736E-7
6.454626894036028+1.0529930823777026E-4i,8.754075269950101E-9
6.45463227014331+0.0014504682179445286i,1.759467452053421E-7
6.454726628160686+0.006369956208276216i,1.3751570251701652E-9
6.45490976580056+1.0307323552006833E-4i,1.8352925904626812E-8
6.455120997886463+0.005701802736241401i,2.12415502235129E-8
6.455246104167786+2.5385858047304255E-5i,7.033921376579466E-8
6.455401913245013+1.9186433507938587E-5i,2.014178989580034E-9
6.455570685612175+3.35243616011812E-5i,6.113185937534593E-8
6.455579045272973+0.008433267366838994i,1.1566547395833242E-7
6.455596689545682+0.00586768780614697i,2.245948310048425E-9
6.45562081233744+0.0018684486679935819i,1.274155622393297E-9
6.455674855335235+2.211262557581013E-5i,8.538633875283034E-7
6.455837684731365+0.0013025412206701889i,1.285927577369135E-7
6.455922056846919+6.175870190630876E-6i,1.2783769011298157E-6
6.455940836673949+5.076300142892573E-5i,3.5706043092182757E-7
6.456006120889295+0.001841696618761475i,7.10220841978451E-8
6.45603807623504+2.958342726342662E-7i,3.466139038306081E-8
6.456059117487096+0.006307904298445255i,7.047324979546851E-9
6.456249405159142+0.0014912553290036081i,1.572337141401035E-7
6.456348877180108+1.0309452902640336E-6i,4.691124216389382E-6
6.4564953129935345+2.994561968099158E-5i,2.82879674795767E-7
6.456600892655972+2.297482712908239E-5i,1.292373173627222E-7
6.45663835087152+0.0017020288519822957i,5.507144500541895E-8
