% Model,Final.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 16 2022, 00:17"
% Table,"Table 1 - Pol, SM_only"
% Eigenfrequency (GHz),zz (1),yz (1),xz (1)
6.442084518963096+3.551337938413437E-6i,0.2358351611371275,0.4068718119530801,0.30373768460568334
6.4422563759418745+5.960637337503762E-7i,0.011176980689296694,0.022073372755045655,0.9573017367894201
6.442357605070858+2.2573325786516036E-6i,0.08591041153109784,0.7820380830470999,0.10572498770790767
6.4424642442938245+7.146553192493456E-4i,0.9884664745508706,0.007128012351110716,0.0034842968540852257
6.4426234838746765+1.5395899823996155E-5i,0.014294997176794534,0.9575210520580129,0.015075156508727424
6.442636794124983+6.078946695384902E-6i,0.009734671162915858,0.9654705936467456,0.008577485910325262
6.442735288940653+6.754876004933106E-4i,0.99123760728622,0.0034625499702310766,0.004385843599655846
6.442978006312639+6.945586530350652E-4i,0.9875019844049058,0.007151366376606641,0.004341175688384571
6.443259110410202+2.1133188853668092E-5i,0.013371540408356539,0.96579724632833,0.010550264795545683
6.443553789635077+4.0917449729127386E-8i,0.007539864928754684,0.0021429099222553868,0.9890614001050315
6.443569889676084+5.477800300345214E-7i,0.29025331726375986,0.30771366135632994,0.2765871418824716
6.443571317690264+0.0023515665014148764i,0.9793471582669424,0.013564405930591336,0.005590650738045516
6.44365418313737+6.972392315052401E-5i,0.0026022208446576235,0.9903151821250336,0.0022604893647482235
6.443774298447909+2.260153479563727E-6i,0.010861122212256743,0.0071910864996370194,0.9732035317198819
6.4438280722671495+0.002507813406928718i,0.006495948211579275,2.666510740029153E-4,0.9795351383285215
6.443842618217964+7.346562635231163E-4i,0.9896686561223957,0.005170098739538781,0.004242192948699161
6.44398109389593+5.342481831049891E-6i,0.03216952474075966,0.05012552452597933,0.8676380006882765
6.444120647887513+7.180655392528026E-6i,0.12745248646246168,0.06305802564877086,0.7757929643645493
6.444214640592138+1.7885762029257524E-6i,0.39216355515702217,0.1367449774631671,0.4186724675912229
6.4442802697625226+8.157329176795332E-4i,0.9896491793215477,0.0025621477757515367,0.006847929335539173
6.444521443733322+2.7263608456909112E-6i,0.006378031625876659,0.9593148886471936,0.014848195159217047
6.44493905578743+3.812714612167639E-7i,0.9446829259686048,6.532922206444737E-4,0.05309082993094315
6.445149713767811+2.692963208143528E-5i,0.0435876002155249,0.017544124636042786,0.9268049538899029
6.445317731605733+0.002981251913622292i,0.9490797574032016,0.009013702099889505,0.0403644797667141
6.445465825884938+2.802452873524785E-6i,0.3626697362441828,0.24530329670718642,0.32905247601867194
6.44554213665086+4.493480262268563E-5i,0.02610562919237558,0.9150852689436892,0.033325825441472036
6.445566145560242+1.928671794244425E-4i,0.007235525142763712,0.980240787801024,0.005424673327105507
6.44600318771747+0.0034769832792235357i,0.9760148672920866,0.010796074139148874,0.011788539535177387
6.446005850552942+0.0011114762736985423i,0.9905783497875594,0.002560167611780804,0.0058966028634517284
6.446022929416876+7.106519851435989E-6i,0.043603759289869815,0.7257820616033197,0.15528574717980878
6.446066377704939+1.1781825113021241E-6i,0.05608277794935449,0.11940265818072565,0.8111163137119697
6.446247740565571+4.745506375721216E-6i,0.11000966671104061,0.745619223307647,0.07632575342960007
6.446788734563273+0.00650615961441426i,0.015712811596930238,1.9825990453027834E-4,0.981492758001845
6.446795468447913+1.0954501820569547E-5i,0.01452346437774661,0.006327602940505205,0.9711930051184349
6.446930132212469+3.7729197006894004E-5i,0.045119933207963155,0.013128015821754798,0.9311767658046637
6.447134032055792+1.3014433174994575E-5i,0.002736264359287302,0.9895892413072879,5.658434176062815E-4
6.447292029127088+1.8539192785340356E-7i,0.029926202213619135,0.001136667568383713,0.9677476358587772
6.447487063873627+0.006327447723912081i,0.06684748834634142,4.406169994313692E-4,0.9293281869268213
6.447592596700531+1.7120070599682883E-7i,0.8815835070934428,5.259531622789902E-4,0.11630131577892572
6.4479582645054165+3.825059014013947E-6i,0.011992551373637049,0.0054120070199099035,0.9741732454118225
6.448165318553311+2.2413611785458604E-5i,0.24443695338673074,0.2267800000017398,0.48189014804910774
6.44828579264428+4.388073961406317E-4i,0.011036688771445126,0.9629652988310736,0.015883835046547962
6.448517506054891+0.00321283010370103i,0.1264793100025333,0.0014174326496784373,0.8702248072689148
6.4485651865490565+2.774219962991353E-6i,0.10890329104699475,0.0013545252458136935,0.8876538951115939
6.448669989456483+0.0037439122788187266i,0.5473158719262525,0.005370022146587645,0.4450855441435779
6.448683660611741+1.3370850062309749E-5i,0.0018079819394271526,0.9886002408487545,0.0014939857082059116
6.448775263521045+1.3546699755689674E-6i,0.11744942675259722,0.08600127017570382,0.7318614306458762
6.449165468439501+0.0035767725799861656i,0.6241350462637186,0.0036820729224727802,0.36971118150957255
6.449170807962548+0.004020071153899148i,0.2485347097842604,0.002775027715091982,0.7456205112316069
6.449320044279427+5.621801000120982E-6i,0.0727733471846485,0.6739669297957881,0.2009429194649703
6.449626225675388+3.899552673156035E-6i,0.06284011078537417,0.05602447885784373,0.8144516859406961
6.449714438009626+2.8532845522933205E-6i,0.3470388840536237,0.004809970367069955,0.6439047089246758
6.449758529718929+3.4911926875194284E-5i,0.06865816151510702,0.09668734888326126,0.7875180068394946
6.449860106658968+1.140533770815158E-5i,0.29608897806401174,0.2174089192113143,0.4310610140303009
6.449955062784112+3.456404650280024E-5i,0.414814882671052,0.02835938326418129,0.5407607585902052
6.450120680571612+8.270981091409896E-5i,0.3193243211947541,0.02162465677970086,0.6461409665098028
6.450181552364705+3.429668520879548E-6i,0.5948989862800199,0.03031839551541064,0.3638121667026496
6.4502419450644455+9.643376546118483E-6i,0.41845663828460755,0.09808056408615462,0.44765043608220967
6.450327451717012+0.0036942164260242985i,0.13210965953668624,7.328195525758257E-4,0.8628659807927196
6.450392016824311+6.717440223503184E-4i,0.00970794436659851,0.965901162090644,0.012036982414794131
6.450437794789854+0.0025512202222421772i,0.020233059956183665,2.2473983650166755E-4,0.9744169282311205
6.450559612886391+9.927514999527468E-6i,0.857814599026205,0.0023487866014412395,0.13736729256786154
6.451016111604958+1.4947074973842983E-4i,0.20072027519801464,0.013476313894314014,0.7755145550083926
6.451324102812287+0.0048405227174104035i,0.8043666215212096,0.005494877600701969,0.18840816012585493
6.451436397042353+0.0025213136303762432i,0.02636440928224797,0.0013659787157532302,0.9666676920985384
6.451677001253005+1.2065894196964781E-4i,0.09121387546270282,0.017450195035381803,0.8817792082950047
6.451830016655938+0.001399027032342845i,0.001129533992064025,0.9831238622977282,0.011896420642273536
6.451833814721545+0.0010470785255300976i,0.022723634123158375,0.006219767448584203,0.9645002685839663
6.451893185246826+2.61484048942127E-5i,0.22615193503075243,0.3346431625412827,0.37548564062748907
6.452047495741372+2.257429369414114E-6i,0.04343888067889716,0.8959462196133414,0.03266286658197501
6.452190893703708+1.3992161463437341E-5i,0.07771866167330369,0.007311727725585341,0.9107144630891362
6.452245935226476+2.7760795924780285E-4i,0.06451460548519891,0.8134610916047538,0.085852830430887
6.452441581675803+2.194853261358607E-5i,0.11090828926091185,0.20468768599568968,0.5939061910706332
6.452452283340321+8.071786757109323E-5i,0.06690715887705993,0.15412474294438133,0.755986557287299
6.452629506566001+6.826715389956695E-5i,0.07730613822227672,0.2701187613763988,0.6063232359273181
6.452715834302812+2.2958025699132183E-5i,0.06723479889328882,0.2420719600867268,0.6371683548313007
6.452921941917364+8.643162798939743E-6i,0.677835436867997,0.005356893085342638,0.313008108625727
6.45297293477352+1.498894486983459E-5i,0.1141063982908291,0.030257122743837742,0.8392881944677811
6.453337028263892+2.7865717246852333E-5i,0.19306355344313117,0.04097571372945861,0.7534688337790009
6.453390413545689+0.0012580573138270409i,0.016080326972122198,0.9601284104476252,0.011164044173916102
6.453607909573601+4.131745718243252E-5i,0.2519234618164103,0.06675945970716418,0.6671078639136322
6.453633126731428+0.001462133483840628i,0.0011017052025835614,0.9941058629991381,5.187116618049976E-4
6.453761959380431+0.0038035879511595155i,0.003286247062626162,2.938308352052285E-4,0.9949495957537015
6.453776154763986+8.019468307047376E-5i,0.25312997358038825,0.13952814947412653,0.5824952237303471
6.453858007287457+2.692855466250336E-6i,0.9091283399712541,0.009145606591282057,0.07873565875869347
