% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 13:19"
% Dimension,1
% Nodes,55
% Expressions,1
% Description,"Displacement field, Z component"
% cln1x,w (m) @ lambda=1.6E-8
2.000000000000001E-4,NaN
0,7.126019086599757E-22-4.127396841487928E-22i
1.1666666666666661E-4,8.164076087600655E-21+8.267714689533667E-20i
1.2129629629629643E-4,7.258319920959626E-21+7.670208015815143E-20i
1.2592592592592581E-4,5.680845686635834E-21+5.501645972824576E-20i
1.3055555555555542E-4,3.4316533846297315E-21+1.7620285605624833E-20i
1.3518518518518523E-4,2.1161686520020932E-21+1.1628834859512036E-20i
1.3981481481481484E-4,7.850758247488293E-22+5.269515377812576E-21i
1.4444444444444444E-4,-5.616250971303566E-22-1.4576728394749999E-21i
7.870370370370344E-5,-1.0040390224568596E-20-1.0252192503146399E-19i
8.33333333333337E-5,-1.4308997559579624E-20-1.247575569272596E-19i
7.407407407407298E-5,-4.7750697604828726E-21-6.167678092584784E-20i
6.944444444444272E-5,1.4869638326816633E-21-2.2221246103684452E-21i
1.4907407407407426E-4,-3.4671133401174935E-22-1.3580755008428798E-21i
1.5370370370370364E-4,-1.4437655261273092E-22-9.794862937879943E-22i
1.5833333333333346E-4,4.53792470667407E-23-3.219052183102591E-22i
6.481481481481366E-5,7.227867851438931E-22-3.2916230689500888E-21i
6.018518518518417E-5,-4.890443871722643E-23-3.918503218127067E-21i
5.5555555555554786E-5,-8.2810983890175125E-22-4.102765057899406E-21i
1.6296296296296328E-4,1.283098455569038E-22+6.376762071361153E-22i
1.6759259259259288E-4,1.0739017048303349E-22+6.622841535833897E-22i
1.722222222222227E-4,-1.7379778154868792E-23-2.480813789683802E-22i
5.092592592592551E-5,-2.788687166841495E-22-1.8110026909594755E-21i
4.6296296296296125E-5,2.0554551726706474E-22+9.198695790776849E-23i
4.166666666666674E-5,6.25132862951938E-22+1.6062038887025162E-21i
1.7685185185185252E-4,-4.8775521309633536E-23-1.4228695033799381E-22i
1.814814814814819E-4,-8.741078983538564E-23+1.7274818011440944E-22i
1.861111111111115E-4,-1.3328558373211265E-22+6.970240123887664E-22i
3.7037037037037463E-5,3.558823091950825E-22+7.235959049539827E-22i
3.240740740740797E-5,1.1609216218535466E-22+8.726794539457452E-23i
2.7777777777778694E-5,-9.423757807728915E-23-3.0277998997581153E-22i
1.907407407407411E-4,-2.1782952396224784E-22+6.128154920456362E-22i
1.953703703703705E-4,-2.8928434073980533E-22+3.996816572256571E-22i
2.3148148148149526E-5,6.044881427456061E-23-5.677562905651274E-22i
1.8518518518520033E-5,2.6066628320739346E-22-9.945736209544816E-22i
1.3888888888890648E-5,5.064148287212406E-22-1.5832319811439657E-21i
9.259259259260396E-6,6.270796309504146E-22-1.5757598496761835E-21i
4.629629629630144E-6,6.958086575968777E-22-1.1855957506803166E-21i
1.040201581257469E-4,-2.7347743188295184E-20-2.914364464457216E-20i
1.0603023718861967E-4,6.00564156491656E-20+3.0102600482737773E-19i
1.0201007906287369E-4,-2.0249043334043042E-20-3.4627634667937113E-20i
1.0000000000000048E-4,8.135251521193351E-20+2.8457403475730233E-19i
1.0998854699539136E-4,4.9447602338491265E-20+2.722061662812659E-19i
1.1196770189877687E-4,1.832774886572463E-19+8.35018347739024E-19i
1.080093920920054E-4,8.373911335784849E-21+9.420871864399617E-20i
9.396976281138064E-5,-6.664483764805351E-20-3.948980596852896E-19i
9.597984187425428E-5,-1.828608913258285E-20-2.055161671921537E-19i
9.798992093712727E-5,3.1046361820758656E-20+2.097453095542629E-20i
1.1353402348807367E-4,9.903227935800165E-20+5.007332957207888E-19i
1.1510034507737003E-4,4.0661141834782865E-20+2.499528954395402E-19i
8.803229810122387E-5,1.4846833386038287E-20-7.091893091808474E-20i
9.00114530046096E-5,7.541950561834371E-20+1.9473535568931894E-19i
9.19906079079949E-5,4.8255615273652663E-20+8.674231276694274E-20i
8.646597651192729E-5,4.0977101886364834E-20+2.874331144384905E-20i
8.489965492263028E-5,3.125849157115956E-20+1.0797102774131095E-20i
