% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 12 2022, 15:04"
% Table,"Table 1 - Pol, SM_only"
% L_junc (nH),Eigenfrequency (GHz),zz (1),yz (1),xz (1)
9.035,6.441504812762826+1.2569725121855362E-5i,0.013882859714075957,0.9589604177250857,0.016854600090630178
9.035,6.441549083924703+6.455909384280329E-6i,0.057078781538106596,0.8438195407639407,0.06502886888327916
9.035,6.44172767381817+0.002040405351834583i,0.009552875773003452,2.6529625442287696E-4,0.9759827797658311
9.035,6.441808171364491+3.467888972363736E-6i,0.2194823750199844,0.410378762225028,0.30095115864532956
9.035,6.441935459441319+1.1647533243621905E-5i,0.04351876904002725,0.8763673071122055,0.061745100168893736
9.035,6.4419371219335035+7.498344342802311E-4i,0.9915441843963804,0.0034810324792686293,0.003987829104304179
9.035,6.442097854808304+3.288136000118861E-6i,0.228551084933427,0.41803289723470055,0.30103317899796544
9.035,6.442256220783269+5.817005878361653E-7i,0.011050163151990613,0.022585131452275118,0.9569406814636692
9.035,6.442363166348293+2.308284774742006E-6i,0.09508730438950977,0.7582576774864221,0.11928591754490195
9.035,6.442626639400386+1.303995934409411E-5i,0.013170807873147733,0.9583828403546893,0.01529328565693571
9.035,6.4426381179352745+5.599407679119089E-6i,0.009273044534992265,0.9657304188575954,0.00876220490850874
9.035,6.442986226134303+7.679430562047605E-4i,0.9896859096469707,0.004207556433612116,0.0050744085015171254
9.035,6.443055467696935+0.002186391712369292i,0.009399067341538047,3.533877544956306E-4,0.976488758536902
9.035,6.44319621792046+8.307667000492637E-4i,0.9864121143659464,0.00904419408629049,0.0035697703706269444
9.035,6.443264741909158+2.1190514741869292E-5i,0.013368697669604326,0.9656862635189605,0.010646329051242569
9.035,6.443553752468699+3.924505028652912E-8i,0.009709794159543426,0.004645777495585298,0.9833574021311413
9.035,6.443564822578569+8.771984630290696E-7i,0.2874500612281241,0.3056771830411422,0.28226223116059546
9.035,6.443678163154002+7.73173036798806E-5i,0.0023698582773868447,0.9906353550621949,0.002239719404133451
9.035,6.44377449944915+2.247542441703292E-6i,0.010711414788741505,0.007245449901791893,0.9733473019850032
9.035,6.443855686224303+8.015266671191263E-4i,0.9897352455056876,0.003978737902601186,0.005393954325071092
9.035,6.443981565146686+4.995152181969212E-6i,0.03248587723712207,0.050175118058315545,0.8670418330095669
9.035,6.444118270728379+7.4537453513636916E-6i,0.1290061315825205,0.06319217988726336,0.7740118375677716
9.035,6.444212887736734+2.075150001871568E-6i,0.3891514165809457,0.13596453112538723,0.4226257465627535
9.035,6.444242273760603+7.865899972848499E-4i,0.990495965701456,0.003571639082642725,0.0050270410814540825
9.035,6.44452033544775+2.5839026248385526E-6i,0.006326123189375556,0.9595703296558601,0.014659253383000632
9.035,6.444747643335069+0.0030106679191527863i,0.9811234082797492,0.01210562113872812,0.0053736100930836484
9.035,6.444863654041089-2.0408607182807464E-7i,0.9555533242230195,6.123166309289046E-4,0.04231457562534252
9.035,6.445148017510526+3.0177134315991312E-5i,0.03863543524928937,0.01740092866934443,0.9318950965379241
9.035,6.445444950603647+0.001009625647426345i,0.9905400673725412,0.0025903646060424956,0.005896436831238395
9.035,6.445458079072492+9.743001475237456E-4i,0.989092105189951,0.002603046030470408,0.007334822029558603
9.035,6.445461496747368+2.6958862342869728E-6i,0.36550171130580983,0.24229085738654643,0.32934355839307083
9.035,6.445546073239829+4.476710252888498E-5i,0.026108524916323376,0.9151255162472792,0.03317077329781104
9.035,6.445574910007233+2.0104984369571642E-4i,0.006085473954163486,0.9817764410258881,0.005073225863951136
9.035,6.446022205750819+7.038094586484229E-6i,0.04280436530122874,0.7015136741478819,0.18276122519432902
9.035,6.446027724552699+0.006885140503750389i,0.014247551489694959,2.2327012605722124E-4,0.9833170241289809
9.035,6.446061573119168+1.6738889313962744E-6i,0.04934629611128593,0.14981389923804378,0.7842702452262602
9.035,6.446247136725971+5.404602247340663E-6i,0.10969412581139044,0.746796690033112,0.07564813098688387
9.035,6.4467947954491285+1.1979382169986897E-5i,0.014482742260499178,0.006359433430766202,0.971220467960323
9.035,6.4468168054321735+0.0047966415751573566i,0.010116852938215154,3.5270065646126356E-4,0.9877103519318846
9.035,6.446925501407137+3.931996729354565E-5i,0.045303080687717906,0.01316188753041077,0.9309687772315968
9.035,6.446980478722982+0.006655040225317231i,0.010909998649516348,1.3081845852685442E-4,0.9866604206805185
9.035,6.447133801014148+1.2329411614958001E-5i,0.0020611632118058996,0.9902892137675261,5.335970019986496E-4
9.035,6.447291975348535+2.414144095374698E-7i,0.029993297977140378,0.0011399636148737796,0.9676767590592273
9.035,6.447592303828265+3.173885331280712E-7i,0.8816147922509131,5.254416174679342E-4,0.11627020247213402
9.035,6.447958459983661+3.739128924981777E-6i,0.011404368576960477,0.004871525157827403,0.9754021216602679
